Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6
Sirensong,Mer du Chant des sirènes,Mermaid Scale,Écaille-de-sirène,3 - 4,3 - 4,3 - 4,5 - 7,5 - 8,,Mackerel Strip,Chair de maquereau,,,Ragworm,Teigne,51,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,M,Shellfish,Mollusque,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Broadhead,Pointe-seiche,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Mackerel Strip,Chair de maquereau,,,Plump Worm,Ver charnu,68,4,7,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,No,4,Q,Squid,Céphalopode,,No,Yes,Yes,No,No,Yes,Yes
Sirensong,Mer du Chant des sirènes,Vivid Pink Shrimp,Crevette fuchsia,,5.5 - 8,,7 - 10,6 - 7,,Mackerel Strip,Chair de maquereau,,,Krill,Krill,144,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,No,No,Yes,4,H,Shrimp,Crevette,,No,No,No,Yes,Yes,No,No
Sirensong,Mer du Chant des sirènes,T!Sunken Coelacanth,Cœlacanthe abyssal,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Mackerel Strip,Chair de maquereau,,,Plump Worm,Ver charnu,51,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Siren's Sigh,Soupir-de-sirène,5 - 6,,,6 - 8,5 - 6,,Mackerel Strip,Chair de maquereau,,,Ragworm,Teigne,101,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Black-jawed Helicoprion,Hélicoprion noir,,,5 - 6,6 - 7,5 - 6,,Mackerel Strip,Chair de maquereau,,,Plump Worm,Ver charnu,102,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,Yes,Yes,No,No
Sirensong,Mer du Chant des sirènes,Impostopus,Poulpe imposteur,,5 - 6,,6 - 8,5 - 6,,Mackerel Strip,Chair de maquereau,,,Krill,Krill,144,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Jade Mantis Shrimp,Mante de jade,,3 - 4,,5 - 7,,,Mackerel Strip,Chair de maquereau,,,Krill,Krill,72,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Nymeia's Wheel,Rouet de Nymeia,,7 - 8,,8,,,Mackerel Strip,Chair de maquereau,,,Krill,Krill,289,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,Yes,Yes,No,No,No,No
Sirensong,Mer du Chant des sirènes,F!Taniwha,Taniwha,,,,,9 - 12,,Mackerel Strip,Chair de maquereau,,,Mackerel Strip,Chair de maquereau,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Sunken Coelacanth.png"" alt=""Cœlacanthe abyssal"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Cœlacanthe abyssal"" tabindex=""0"">",Yes,No,No,No,No,Yes,Yes
Kugane,Baie de Kugane,Ruby Herring,Hareng de Kugane,5 - 9,5 - 9,5 - 9,7 - 12,,10 - 14,,,M!Leopard Prawn,Crevette léopard,Krill,Krill,14,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,No,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Whirlpool Turban,Turbo tourbillon,15 - 29,15 - 29,15 - 29,18 - 32,,,,,,,Ragworm,Teigne,10,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,M,Shellfish,Mollusque,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,M!Leopard Prawn,Crevette léopard,5 - 9,5 - 9,5 - 9,7 - 12,,,,,,,Ragworm,Teigne,10,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,H,Shrimp,Crevette,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Spear Squid,Calmar lance,17 - 29,17 - 29,12.5 - 24,17 - 29,,,,,,,Plump Worm,Ver charnu,26,3,5,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,Q,Squid,Céphalopode,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Floating Lantern,Lanterne flottante,11 - 17,11 - 17,6 - 12,11 - 17,,,,,,,Plump Worm,Ver charnu,37,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Rubescent Tatsunoko,Hippocampe rubescent,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,Krill,33,2,3,!,Precision,Ferrage précis,Yes,No,No,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Hatatate,Gobie porte-drapeau,10 - 14,11 - 15,11 - 15,11 - 15,,7 - 12,,,M!Leopard Prawn,Crevette léopard,Ragworm,Teigne,53,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,T!Silent Shark,Requin souris,,,,,,6 - 12,,,M!Leopard Prawn,Crevette léopard,M!Leopard Prawn,Crevette léopard,35,2,3,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Spectral Wrasse,Labre spectral,17 - 29,17 - 29,17 - 29,17 - 29,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,I!Mizuhiki,Mizuhiki,14 - 26,,,,,,,,,,Ragworm,Teigne,263,1,1,!!!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Silent Shark.png"" alt=""Requin souris"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Requin souris"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,M!Snapping Koban,Murène koban,2 - 3,2 - 3,2 - 3,4 - 6,,2 - 3,,,M!Snapping Koban,Murène koban,Krill,Krill,62,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Silkweft Prawn,Crevette hôsai,2 - 3,2 - 3,2 - 3,4 - 6,,,,,,,Ragworm,Teigne,58,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,Crevette,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Stingfin Trevally,Carangue étoilée,,5.5 - 8,,7 - 9,,,,,,,Krill,Krill,191,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,Yes,Yes,No,No
Kugane,Baie de Kugane,Swordtip Squid,Calmar épée,8 - 11,8 - 11,3.5 - 6,8 - 11,,,,,,,Plump Worm,Ver charnu,115,4,7,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,Céphalopode,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Mailfish,Poisson-armure,7 - 11,,,9 - 12,,,,,,,Ragworm,Teigne,198,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,Yes
Kugane,Baie de Kugane,Idaten's Bolt,Poisson volant d'Idaten,3 - 4,3 - 4,3 - 4,5 - 8,,,,,,,Krill,Krill,62,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Maelstrom Turban,Turbo tatsumaki,4.5 - 8,4.5 - 8,4.5 - 8,7 - 11,,,,,,,Ragworm,Teigne,83,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,No,4,M,Shellfish,Mollusque,,No,No,No,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,T!Shoshitsuki,Shôshitsuki,,,3 - 4,5 - 8,,,,,,,Plump Worm,Ver charnu,92,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,Baie de Kugane,Spadefish,Poisson-guitare à tête de pelle,,6 - 8,,7 - 9,,,,,,,Krill,Krill,191,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,Yes
Kugane,Baie de Kugane,I!Glass Dragon,Ruriryû,,,,,,8 - 10,,,M!Snapping Koban,Murène koban,M!Snapping Koban,Murène koban,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,5,,,,"(45s) x2 <img class=""iconMini"" src=""../img/fish/Shoshitsuki.png"" alt=""Shôshitsuki"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Shôshitsuki"" tabindex=""0"">",Yes,Yes,Yes,No,No,No,No
Ruby Sea,Mer de Rubis,T!Crimson Kelp,Varech de Rubis,4 - 7,4 - 7,4 - 7,7 - 11,,,,,,,Ragworm,Teigne,11,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,1,,,,,Yes,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Reef Squid,Calmar des récifs,9.5 - 18,9.5 - 18,9.5 - 18,11 - 21,,,,,,,Krill,Krill,10,3,5,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,1,Q,Squid,Céphalopode,,Yes,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Pinebark Flounder,Flet à écorce,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Ragworm,Teigne,15,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,No,???,???,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,1,,,,,No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Mantle Moray,Murène hagoromo,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,Krill,41,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,No,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,2,,,,,No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Barded Lobster,Langouste monture,10 - 18,15 - 23,15 - 23,15 - 23,,,,,,,Ragworm,Teigne,33,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,2,H,Shrimp,Crevette,,No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Shisui Goby,Gobie valet,18 - 31,18 - 31,18 - 31,18 - 31,,,,,,,Ragworm,Teigne,57,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,3,,,,,No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Sanbaso,Sambaso,18 - 31,18 - 31,14 - 25,19 - 31,,,,,,,Plump Worm,Ver charnu,38,2,3,!!,Powerful,Ferrage puissant,Yes,No,No,Yes,???,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,2,,,,,No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Violet Sentry,Gardien saphir,14 - 21,14 - 21,13 - 20,14 - 21,,,,,,,Plump Worm,Ver charnu,55,2,3,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,3,,,,,Yes,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,Spectral Snake Eel,Anguille-serpent spectrale,15 - 24,15 - 24,15 - 24,15 - 24,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,Yes,No,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,4,,,,,Yes,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,I!Heavensent Shark,Requin-tigre céleste,,15 - 27,,,,,,,,,Krill,Krill,227,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,Vent,Gales,Vents violents,Thunder,Orages,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Crimson Kelp.png"" alt=""Varech de Rubis"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Varech de Rubis"" tabindex=""0"">",No,No,Yes,No,Yes,Yes,Yes
Ruby Sea,Mer de Rubis,T!Fleeting Squid,Calmar fugace,3 - 4,3 - 4,3 - 4,5 - 8,6 - 8,,Squid Strip,Chair de calmar,,,Krill,Krill,81,4,7,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,Céphalopode,,Yes,No,Yes,No,Yes,No,Yes
Ruby Sea,Mer de Rubis,Bowbarb Lobster,Langouste archère,3 - 4,3 - 4,3 - 4,5 - 8,6 - 8,,Squid Strip,Chair de calmar,,,Ragworm,Teigne,83,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,Crevette,,No,No,Yes,No,Yes,No,Yes
Ruby Sea,Mer de Rubis,Pitch Pickle,Holothurie rayée,5 - 6,,,7 - 8,,,Squid Strip,Chair de calmar,,,Ragworm,Teigne,218,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,Yes,No,No,No,No
Ruby Sea,Mer de Rubis,Senbei Octopus,Poulpe senbei,4.5 - 7.5,4.5 - 7.5,4.5 - 7.5,8 - 11,4.5 - 7.5,,Squid Strip,Chair de calmar,,,Ragworm,Teigne,83,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,No,Yes,No,Yes
Ruby Sea,Mer de Rubis,Tentacle Thresher,Requin octopophage,2 - 3,2 - 3,2 - 3,4 - 6,5 - 6,,Squid Strip,Chair de calmar,,,Plump Worm,Ver charnu,76,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,No,Yes,No,Yes
Ruby Sea,Mer de Rubis,Bekko Rockhugger,Lompe de Bekko,,5 - 6,,7 - 8,,,Squid Strip,Chair de calmar,,,Krill,Krill,187,2,3,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,Yes
Ruby Sea,Mer de Rubis,Yellow Iris,Iris jaune,6 - 8,,,7 - 9,,,Squid Strip,Chair de calmar,,,Ragworm,Teigne,218,2,3,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,Yes,No,No,No,No
Ruby Sea,Mer de Rubis,Crimson Sentry,Gardien rubis,,,6 - 8,7 - 9,,,Squid Strip,Chair de calmar,,,Plump Worm,Ver charnu,178,2,3,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,Yes
Ruby Sea,Mer de Rubis,T!Flying Squid,Toutenon,8 - 12,8 - 12,4.5 - 8,10 - 14,8 - 12,,Squid Strip,Chair de calmar,,,Plump Worm,Ver charnu,126,4,7,!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,Céphalopode,,Yes,No,Yes,No,Yes,No,Yes
Ruby Sea,Mer de Rubis,F!Hells' Claw,Pince-des-enfers,,,,,8 - 11,,Squid Strip,Chair de calmar,,,Squid Strip,Squid Strip,500,1,1,!!!,Powerful,Ferrage puissant,,,,,,,,,,,,,,No,Yes,No,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Fleeting Squid.png"" alt=""Calmar fugace"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Calmar fugace"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Flying Squid.png"" alt=""Toutenon"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Toutenon"" tabindex=""0"">",Yes,No,No,No,Yes,No,No
One River,Muni,T!Catching Carp,Carpe herabuna,6 - 10,6 - 10,6 - 10,9 - 14,,,,,,,Ragworm,Teigne,10,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,Yes,Yes,No,Yes,No,Yes,No
One River,Muni,Garlean Bluegill,Crapet arlequin garlemaldais,7 - 12,7 - 12,7 - 12,10 - 14,,,,,,,Krill,Krill,14,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,No,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,Yes,Yes,No,Yes,No,Yes,No
One River,Muni,Yanxian Softshell,Trionyx yanxien,8 - 15,8 - 15,8 - 15,10 - 17,,,,,,,Krill,Krill,10,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,1,,,,,Yes,Yes,No,Yes,No,Yes,No
One River,Muni,Princess Salmon,Saumon princesse,5 - 9,10 - 14,10 - 14,10 - 14,,,,,,,Ragworm,Teigne,37,2,3,!,Precision,Ferrage précis,Yes,No,No,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,Yes,No,Yes,No
One River,Muni,Calligraph,Orphie calligraphe,12 - 18,12 - 18,8 - 14,12 - 18,,,,,,,Plump Worm,Ver charnu,40,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,No,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,,,,,No,Yes,No,Yes,No,Yes,No
One River,Muni,Singular Shrimp,Crevette de la Muni,13 - 24,17 - 29,17 - 29,17 - 29,,,,,,,Ragworm,Teigne,31,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,2,H,Shrimp,Crevette,,No,Yes,No,Yes,No,Yes,No
One River,Muni,Brocade Carp,Carpe de brocart,14 - 22,14 - 22,14 - 22,14 - 22,,,,,,,Krill,Krill,52,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,,,,,No,Yes,No,Yes,No,Yes,No
One River,Muni,Yanxian Sturgeon,Esturgeon yanxien,11 - 16,11 - 16,11 - 16,11 - 16,,,,,,,Plump Worm,Ver charnu,49,2,3,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,3,,,,,Yes,Yes,No,Yes,No,Yes,No
One River,Muni,Spectral Kotsu Zetsu,Kotsu zetsu spectral,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,,Yes,Yes,No,Yes,No,Yes,No
One River,Muni,I!Fishy Shark,Requin d'herbiers,,,17 - 28,,,,,,,,Plump Worm,Ver charnu,223,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Showers,Pluie torrentielle,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Catching Carp.png"" alt=""Carpe herabuna"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Carpe herabuna"" tabindex=""0"">",No,Yes,No,Yes,No,Yes,No
One River,Muni,T!Gensui Shrimp,Crevette Gensui,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Stonefly Nymph,Nymphe de plécoptère,,,Ragworm,Teigne,85,4,7,!,Precision,Ferrage précis,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,Crevette,,Yes,Yes,No,Yes,No,Yes,No
